,en-R2Tg_delta-FADD_RNA-Seq-rep1.HTSeq.out,en-R2Tg_delta-FADD_RNA-Seq-rep2.HTSeq.out,en-R2Tg_NC_RNA-Seq-rep1.HTSeq.out,en-R2Tg_NC_RNA-Seq-rep2.HTSeq.out,en-R2Tg_RNA-Seq-rep1.HTSeq.out,en-R2Tg_RNA-Seq-rep2.HTSeq.out
KCNIP2-AS1,18,27,36,8,18,18
KCNIP3,46,67,73,86,55,47
KCNIP4,23,20,17,18,13,11
KCNIP4-IT1,0,0,0,0,0,0
KCNJ1,1,0,0,1,1,0
KCNJ10,10,22,4,11,8,8
KCNJ11,108,162,193,159,201,146
KCNJ12,203,190,263,185,173,152
KCNJ13,2,1,6,4,1,1
KCNJ14,142,153,151,120,96,132
KCNJ15,0,0,0,1,0,0
KCNJ16,0,0,0,0,0,0
KCNJ17,0,0,0,0,0,0
KCNJ18,0,0,0,0,0,0
KCNJ2,2,18,8,3,14,2
KCNJ2-AS1,0,2,1,2,5,0
KCNJ3,3,9,6,7,9,3
KCNJ4,121,188,190,159,206,168
KCNJ5,7,1,8,0,2,0
KCNJ5-AS1,7,29,23,38,31,28
KCNJ6,1,0,0,1,0,0
KCNJ6-AS1,1,0,6,0,1,1
KCNJ8,195,225,298,197,170,139
KCNJ9,3,3,2,10,4,1
KCNK1,73,82,133,102,102,93
KCNK10,7,3,1,1,1,1
KCNK12,6,16,13,17,12,12
KCNK13,5,8,26,12,15,11
KCNK15,71,94,142,106,74,63
KCNK15-AS1,1,10,6,11,7,7
KCNK16,0,0,0,0,0,0
KCNK17,0,0,0,0,0,0
KCNK18,0,0,0,0,0,0
KCNK2,1,1,0,0,2,2
KCNK3,4,3,8,10,2,5
KCNK4,1,1,3,0,0,0
KCNK4-TEX40,0,0,0,0,0,0
KCNK5,185,299,322,229,295,297
KCNK6,7,6,6,10,16,4
KCNK7,0,0,3,1,0,2
KCNK9,1,1,1,2,0,0
KCNMA1,16,28,30,19,20,13
KCNMA1-AS1,0,0,0,0,0,0
KCNMA1-AS2,0,0,0,0,0,0
KCNMA1-AS3,0,0,0,0,0,0
KCNMB1,0,0,1,0,0,0
KCNMB2,1,0,1,0,0,0
KCNMB2-AS1,20,28,8,6,25,39
KCNMB3,16,32,10,30,34,23
KCNMB4,90,162,133,104,114,111
KCNN1,52,68,45,61,64,58
KCNN2,7,17,13,15,12,4
KCNN3,23,36,16,11,21,35
KCNN4,499,755,267,352,589,563
KCNQ1,30,24,44,21,32,22
KCNQ1-AS1,0,0,0,0,0,0
KCNQ1DN,0,0,1,0,0,0
KCNQ2,289,443,463,354,452,375
KCNQ3,0,0,0,0,1,2
KCNQ4,171,177,225,230,134,172
KCNQ5,70,118,137,117,86,85
KCNQ5-AS1,0,0,0,0,0,0
KCNQ5-IT1,0,0,1,1,1,0
KCNRG,2,1,3,9,13,13
KCNS1,3,17,6,3,17,15
KCNS2,1,2,3,0,0,4
KCNS3,6,0,14,17,4,7
KCNT1,8,15,14,19,23,21
KCNT2,122,213,110,105,130,124
KCNU1,0,1,2,0,0,3
KCNV1,0,0,0,0,4,0
KCNV2,3,2,10,3,20,4
KCP,15,19,23,30,32,33
KCTD1,355,502,482,346,414,406
KCTD10,1276,1785,1545,1420,1528,1542
KCTD11,154,223,163,142,170,178
KCTD12,917,1334,1531,1324,1071,946
KCTD13,401,691,625,587,734,517
KCTD13-DT,32,46,55,62,34,82
KCTD14,0,0,0,0,0,0
KCTD15,1882,2592,2826,2561,2417,1892
KCTD16,1,5,1,1,3,1
KCTD17,462,757,632,471,707,568
KCTD18,114,150,173,146,136,123
KCTD19,34,60,79,50,52,46
KCTD2,750,1190,1055,1090,843,866
KCTD20,872,1231,1242,1350,900,877
KCTD21,97,137,94,122,173,94
KCTD21-AS1,59,45,34,38,32,54
KCTD3,1265,1735,1699,1567,1367,1302
KCTD4,12,12,16,20,6,4
KCTD5,2103,3141,2490,2546,2575,2152
KCTD6,135,193,193,182,176,153
KCTD7,312,459,385,392,405,304
KCTD8,0,0,1,1,0,0
KCTD9,409,695,559,523,402,414
KDELR1,2209,3076,3372,2851,2969,2381
KDELR2,1893,2447,2643,2444,2185,1917
KDELR3,113,206,196,150,186,133
KDF1,4,0,6,2,0,1
KDM1A,2213,3105,3444,2909,2521,2417
KDM1B,377,556,590,604,469,413
KDM2A,2090,3145,3205,2700,2866,2392
KDM2B,774,1103,1319,1065,1022,878
KDM2B-DT,1,44,7,13,12,16
KDM3A,1393,2042,2275,2124,1185,1342
KDM3B,1983,2767,3577,3509,2098,1947
KDM4A,1322,1946,2064,1799,1660,1499
KDM4A-AS1,216,246,293,233,262,261
KDM4B,807,1263,1637,1445,1346,979
KDM4C,267,440,417,388,306,306
KDM4D,150,304,190,218,153,199
KDM4E,14,23,9,9,13,6
KDM5A,1319,1974,2084,2107,1350,1482
KDM5B,2024,2852,3389,3383,2079,2035
KDM5C,4435,6814,8394,7417,6243,5263
KDM5D,0,0,0,0,0,0
KDM6A,2000,2794,2402,2331,1946,2087
KDM6B,2084,2807,3040,2695,2849,2328
KDM7A,597,846,725,827,657,619
KDM7A-DT,67,114,99,98,91,48
KDM8,145,196,164,121,185,108
KDR,0,1,2,1,6,4
KDSR,226,360,378,286,322,225
KEAP1,879,1271,1314,1221,1311,1156
KEL,22,43,39,32,43,60
KERA,0,0,0,0,0,0
KHDC1,8,27,16,21,21,16
KHDC1L,0,0,0,0,0,1
KHDC3L,0,0,5,0,0,0
KHDC4,2938,4004,3214,3112,3486,3303
KHDRBS1,3768,5258,5719,5479,4562,4055
KHDRBS2,0,0,0,0,0,0
KHDRBS3,178,252,280,250,184,156
KHK,352,447,449,377,479,444
KHNYN,1512,2421,2313,1801,2164,2007
KHSRP,7095,10311,12595,11314,10175,7866
KIAA0040,58,144,124,69,103,123
KIAA0087,0,0,0,0,1,1
KIAA0100,1742,2540,3335,2882,2225,2161
KIAA0232,481,687,674,655,606,602
KIAA0319,12,18,28,21,6,14
KIAA0319L,711,1169,1369,1138,869,853
KIAA0408,0,8,0,2,2,1
KIAA0513,146,319,283,236,257,207
KIAA0586,764,1179,907,1039,834,916
KIAA0753,839,1229,1034,1004,930,900
KIAA0825,69,117,56,64,99,100
KIAA0895,396,641,594,532,496,427
KIAA0895L,352,544,645,477,528,515
KIAA0930,714,984,1247,965,983,774
KIAA1109,326,548,572,528,445,385
KIAA1143,584,808,792,720,645,636
KIAA1191,2301,3129,2933,3049,2674,2467
KIAA1210,4,0,4,2,0,0
KIAA1217,75,148,99,95,100,120
KIAA1328,135,161,160,185,159,141
KIAA1522,616,964,1093,942,836,941
KIAA1549,425,629,677,617,640,443
KIAA1549L,72,88,108,104,78,107
KIAA1586,212,288,194,238,217,255
KIAA1614,60,121,109,73,100,66
KIAA1614-AS1,14,40,28,30,21,17
KIAA1656,309,475,500,473,550,454
KIAA1671,908,1174,1358,1157,1199,1018
KIAA1671-AS1,8,15,23,21,34,28
KIAA1755,5,1,2,4,3,2
KIAA1958,236,363,340,322,271,299
KIAA2012,2,1,5,4,0,6
KIAA2012-AS1,6,5,4,9,0,4
KIAA2013,834,1263,1210,1037,1021,888
KIAA2026,212,281,250,250,219,258
KICS2,328,436,405,405,415,381
KIDINS220,1144,1689,2386,2571,1093,1267
KIF11,1705,2558,2240,2299,1901,1851
KIF12,7,5,8,16,6,7
KIF13A,253,426,366,382,254,258
KIF13B,211,341,458,540,258,238
KIF14,618,865,713,799,651,664
KIF15,1025,1424,1336,1375,897,937
KIF16B,238,318,311,313,252,288
KIF17,149,241,329,189,251,208
KIF18A,741,1068,769,827,802,935
KIF18B,1425,1998,2372,2048,2041,1753
KIF19,1,0,0,2,0,1
KIF1A,2053,3367,5815,4857,3017,2647
KIF1B,1330,2080,1978,2031,1348,1292
KIF1C,1878,2707,3722,3051,2681,2165
KIF1C-AS1,131,188,243,202,169,132
KIF20A,835,1275,1364,1375,998,1090
KIF20B,1193,1720,1199,1469,1344,1431
KIF21A,444,710,656,678,430,407
KIF21B,75,193,216,137,133,116
KIF22,2028,2847,3093,2650,2475,2414
KIF23,938,1465,1469,1345,1163,1231
KIF23-AS1,54,100,84,80,71,81
KIF24,933,1233,1339,1244,926,1010
KIF25,8,38,24,8,19,24
KIF25-AS1,0,0,0,0,0,0
KIF26A,396,698,739,651,698,531
KIF26A-DT,12,40,42,10,31,28
KIF26B,68,119,121,137,90,102
KIF26B-AS1,0,0,0,0,1,0
KIF27,105,77,111,96,70,87
KIF2A,1138,1586,1496,1434,1194,1165
KIF2B,0,0,0,0,0,0
KIF2C,1471,1932,2088,1766,1729,1787
KIF3A,389,521,497,483,369,425
KIF3B,633,926,1049,922,735,702
KIF3C,219,286,343,265,272,242
KIF4A,1031,1826,2254,2113,1165,1390
